timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z,ball_Accel_X,ball_Accel_Y,ball_Accel_Z,ball_Gyro_X,ball_Gyro_Y,ball_Gyro_Z
178.045,-0.1484,-1.1007,9.8824,0.7,-1.33,1.05,0.3972,8.8008,-4.2066,1.4,-1.82,-0.98,0.2871,-8.3892,5.3216,0.84,-0.77,2.1,1.1725,-8.0255,5.9342,0.07,-1.68,-1.26,0.8375,4.9196,8.6716,0.35,-1.26,-0.28
268.109,-0.1292,-1.1151,9.8824,0.42,-1.4,0.84,0.4164,8.796,-4.2018,0.77,-1.82,-1.05,0.2967,-8.3892,5.3073,0.77,-0.91,2.1,1.1916,-7.9825,5.9294,0.07,-1.68,-1.26,0.8518,4.9244,8.6524,0.7,-1.26,-0.28
448.088,-0.134,-1.1055,9.8871,0.63,-1.33,0.98,0.4068,8.8056,-4.2114,1.05,-1.82,-1.05,0.3063,-8.4275,5.3312,0.91,-0.84,1.96,1.1821,-8.0016,5.9294,0.07,-1.75,-1.4,0.8662,4.9244,8.6716,0.21,-1.4,-0.21
537.608,-0.1196,-1.1007,9.9111,0.49,-1.47,0.98,0.3876,8.8199,-4.1922,0.91,-1.75,-0.91,0.2919,-8.4036,5.2786,0.98,-0.77,2.17,1.1868,-7.9825,5.9342,0.0,-1.61,-1.26,0.8471,4.9292,8.662,0.42,-1.47,-0.28
627.053,-0.1053,-1.1007,9.8919,0.63,-1.26,0.91,0.3924,8.8295,-4.2353,0.91,-1.75,-0.98,0.2967,-8.4084,5.3312,0.56,-0.91,1.96,1.1629,-7.9777,5.9438,0.28,-1.68,-1.19,0.8279,4.9149,8.6668,0.77,-1.33,-0.28
717.974,-0.1196,-1.0911,9.9254,0.49,-1.33,0.91,0.4164,8.8247,-4.197,0.84,-1.68,-0.91,0.2967,-8.3988,5.2881,0.84,-0.7,2.24,1.1821,-8.0112,5.9342,0.07,-1.68,-1.26,0.8471,4.9101,8.662,0.42,-1.19,-0.28
807.984,-0.1244,-1.1055,9.8967,0.63,-1.33,0.91,0.4068,8.8008,-4.2497,0.98,-1.75,-0.98,0.268,-8.4132,5.3073,0.56,-0.98,1.96,1.1629,-8.0064,5.9294,0.14,-1.68,-1.4,0.8375,4.9196,8.6524,0.77,-1.26,-0.28
929.237,-0.134,-1.1151,9.9015,0.56,-1.26,0.98,0.4068,8.8056,-4.2066,1.05,-1.75,-1.05,0.2871,-8.4036,5.3025,1.12,-0.7,2.24,1.1773,-7.949,5.9007,1.12,-1.68,-1.4,0.8566,4.9244,8.6668,0.42,-1.26,-0.21
1017.728,-0.1149,-1.0959,9.8871,0.56,-1.33,0.84,0.402,8.8008,-4.2544,0.63,-1.54,-0.98,0.2776,-8.4179,5.336,0.63,-0.91,1.96,1.1868,-8.1356,5.9868,-3.71,-3.99,-3.64,0.8518,4.9196,8.6859,0.42,-1.33,-0.28
1108.025,-0.1388,-1.1007,9.8919,0.56,-1.33,0.98,0.3781,8.8056,-4.1922,1.33,-1.75,-0.91,0.2871,-8.4132,5.3169,1.12,-0.7,2.1,1.2299,-8.0207,5.9151,0.91,-0.98,-0.63,0.8471,4.9053,8.6907,0.49,-1.33,-0.28
1197.609,-0.1005,-1.1103,9.9159,0.7,-1.33,0.91,0.3876,8.8152,-4.2066,0.56,-1.75,-0.98,0.268,-8.4132,5.2929,0.7,-0.84,1.96,1.1821,-8.0064,5.9246,0.63,-1.47,-0.91,0.8471,4.9244,8.662,0.56,-1.47,-0.21
1318.442,-0.1053,-1.1007,9.8824,0.63,-1.33,1.05,0.4116,8.8247,-4.2257,1.19,-1.75,-1.05,0.2776,-8.4275,5.3264,0.91,-0.84,2.1,1.2012,-7.9777,5.9533,0.14,-1.54,-1.12,0.8327,4.9149,8.6285,0.28,-1.33,-0.21
1378.011,-0.1101,-1.1055,9.8824,0.7,-1.4,0.91,0.3972,8.8104,-4.2353,0.91,-1.75,-0.98,0.2824,-8.4132,5.3264,0.77,-0.98,1.96,1.1868,-8.0112,5.9246,0.14,-1.68,-1.33,0.8518,4.9101,8.6477,0.84,-1.12,-0.42
1467.537,-0.1244,-1.1055,9.9111,0.56,-1.33,0.98,0.4068,8.8391,-4.2018,1.26,-1.68,-0.98,0.2871,-8.4179,5.336,0.91,-0.77,2.1,1.1868,-8.0064,5.939,0.21,-1.54,-1.26,0.8518,4.9053,8.6572,1.05,-1.12,-0.28
1587.647,-0.1196,-1.0911,9.8919,0.7,-1.47,0.91,0.3876,8.8008,-4.2401,0.49,-1.68,-1.05,0.2967,-8.3988,5.3025,0.63,-0.77,2.03,1.1725,-8.0207,5.939,0.28,-1.54,-1.26,0.8375,4.9196,8.6668,0.63,-1.33,-0.28
1677.606,-0.1053,-1.1103,9.8871,0.63,-1.33,0.98,0.3829,8.8199,-4.2114,1.4,-1.75,-0.98,0.2728,-8.4227,5.3264,0.84,-0.7,2.03,1.2012,-8.0351,5.9486,0.14,-1.68,-1.4,0.8423,4.9149,8.6477,0.63,-1.12,-0.21
1798.23,-0.1101,-1.1103,9.8967,0.77,-1.33,1.12,0.4116,8.8056,-4.2114,0.56,-1.68,-1.05,0.2776,-8.4132,5.3169,0.77,-0.84,2.03,1.1821,-7.9825,5.9533,-0.35,-1.68,-1.26,0.8566,4.9244,8.6572,0.49,-1.19,-0.28
1857.893,-0.1101,-1.0959,9.868,0.63,-1.4,0.91,0.4116,8.8056,-4.2497,0.98,-1.75,-1.05,0.268,-8.4132,5.3312,0.91,-0.91,2.03,1.1725,-7.992,5.9198,-0.42,-1.96,-1.47,0.8327,4.9436,8.6524,0.56,-1.33,-0.35
1947.823,-0.1053,-1.1055,9.9063,0.63,-1.26,1.05,0.4116,8.8199,-4.2018,1.12,-1.68,-0.98,0.3015,-8.4323,5.3073,0.77,-0.77,2.03,1.1438,-8.016,6.0251,1.19,-0.7,-0.42,0.8518,4.9101,8.6524,0.42,-1.33,-0.28
2037.964,-0.1196,-1.1151,9.8967,0.56,-1.26,0.91,0.3876,8.8056,-4.2018,0.84,-1.82,-0.91,0.2919,-8.394,5.336,0.63,-0.84,1.96,1.1773,-8.016,5.8959,0.7,-1.33,-1.12,0.8327,4.9244,8.6477,0.56,-1.26,-0.21
2127.784,-0.1149,-1.1007,9.9159,0.56,-1.4,0.91,0.3876,8.8104,-4.2066,0.63,-1.68,-0.91,0.2776,-8.3988,5.2977,0.98,-0.77,1.96,1.1868,-8.0016,5.9581,0.07,-1.75,-1.4,0.8375,4.9149,8.6477,0.42,-1.33,-0.35
2218.929,-0.1292,-1.1151,9.8967,0.63,-1.33,1.05,0.3733,8.8104,-4.2209,1.26,-1.75,-0.91,0.2728,-8.4132,5.3264,0.7,-1.12,1.89,1.1821,-8.0016,5.9246,-0.07,-1.89,-1.4,0.8279,4.9244,8.6429,1.12,-1.05,-0.35
2338.432,-0.1244,-1.1151,9.9159,0.56,-1.33,1.19,0.3972,8.8008,-4.2066,0.77,-1.68,-1.05,0.2776,-8.4084,5.3025,0.84,-0.63,2.1,1.1725,-7.9825,5.9486,-0.07,-1.82,-1.33,0.8566,4.9005,8.6668,0.77,-1.12,-0.35
2427.985,-0.1101,-1.1294,9.8824,0.56,-1.26,1.05,0.3876,8.8008,-4.2401,0.91,-1.82,-0.98,0.2584,-8.4323,5.336,0.63,-0.91,1.96,1.1868,-8.0207,5.9342,0.21,-1.89,-1.61,0.8183,4.9149,8.6859,0.7,-1.26,-0.28
2517.921,-0.1292,-1.1151,9.8919,0.63,-1.4,0.98,0.3829,8.8104,-4.2066,0.98,-1.75,-0.98,0.2776,-8.4036,5.3169,1.05,-0.63,2.17,1.1964,-7.9633,5.8959,-0.63,-1.96,-1.75,0.8327,4.9196,8.6524,0.7,-1.12,-0.35
2607.923,-0.1244,-1.1007,9.9015,0.77,-1.26,0.91,0.4068,8.8104,-4.2592,0.56,-1.68,-0.98,0.2824,-8.4323,5.3551,0.7,-0.91,1.96,1.1821,-8.0064,5.9438,1.19,-0.91,-0.63,0.8136,4.9053,8.6716,0.7,-1.26,-0.21
2698.75,-0.1053,-1.1055,9.8967,0.7,-1.33,0.98,0.4068,8.8104,-4.197,1.33,-1.68,-0.98,0.2919,-8.394,5.2881,1.05,-0.77,2.24,1.206,-7.9968,5.939,0.63,-1.47,-1.12,0.8231,4.9101,8.7242,-0.14,-1.54,-0.14
2788.0,-0.1196,-1.1246,9.9063,0.56,-1.33,0.98,0.4068,8.8247,-4.2209,0.7,-1.75,-1.05,0.2824,-8.4227,5.336,0.56,-0.98,1.89,1.2108,-7.9968,5.9103,-0.28,-1.96,-1.61,0.8471,4.8814,8.6859,-1.4,-1.68,-0.07
2878.226,-0.1149,-1.0911,9.8728,0.63,-1.26,1.12,0.402,8.8152,-4.1874,1.19,-1.82,-0.98,0.3015,-8.4132,5.3169,1.19,-0.84,2.1,1.1964,-7.9777,5.9342,0.07,-1.75,-1.26,0.8518,4.9149,8.6764,-0.63,-2.1,0.07
2997.63,-0.1101,-1.1103,9.9206,0.77,-1.26,0.98,0.3972,8.8152,-4.2018,0.77,-1.82,-0.98,0.2776,-8.4036,5.2929,0.56,-1.12,1.96,1.2395,-7.9202,6.0299,-0.14,-1.61,-1.05,0.8327,4.9101,8.6429,-0.21,-1.68,-0.21
3119.359,-0.1196,-1.1055,9.9015,0.63,-1.26,0.98,0.4116,8.8152,-4.2114,1.12,-1.82,-1.05,0.2728,-8.3988,5.3121,0.91,-0.84,2.1,1.1103,-8.1643,6.1687,0.14,-1.4,-1.82,0.8327,4.9005,8.6716,0.63,-1.26,-0.28
3177.488,-0.134,-1.0816,9.9063,0.56,-1.33,0.98,0.4068,8.796,-4.2209,0.63,-1.61,-0.98,0.2728,-8.4179,5.2834,0.84,-0.84,2.03,1.3161,-8.0351,5.9342,-0.77,-2.03,-0.98,0.8566,4.9196,8.6524,0.49,-1.26,-0.28
3267.887,-0.1101,-1.1103,9.9111,0.56,-1.26,1.12,0.3829,8.8247,-4.197,1.19,-1.75,-0.98,0.2824,-8.4179,5.3408,0.91,-0.77,2.03,1.1821,-8.1165,6.006,0.98,-1.54,-1.47,0.8231,4.9005,8.662,0.63,-1.12,-0.35
3358.398,-0.1005,-1.0959,9.8967,0.49,-1.33,0.84,0.3972,8.8104,-4.2162,0.42,-1.75,-0.98,0.2919,-8.4179,5.3073,0.77,-0.84,2.1,1.1964,-7.9968,5.8528,-0.77,-2.03,-1.75,0.8088,4.934,8.6572,0.56,-1.26,-0.28
3448.054,-0.1388,-1.1007,9.8871,0.63,-1.4,0.98,0.4164,8.8008,-4.2114,1.19,-1.82,-0.98,0.2728,-8.4084,5.3073,0.84,-0.84,1.89,1.1533,-7.9298,5.9198,-0.21,-1.89,-1.19,0.8136,4.9196,8.6524,0.42,-1.4,-0.21
3537.751,-0.1005,-1.1055,9.9159,0.56,-1.26,1.12,0.3876,8.8104,-4.197,0.98,-1.82,-0.91,0.2919,-8.4132,5.3121,1.05,-0.77,2.03,1.1438,-8.0686,5.7619,1.19,-1.33,-1.33,0.8566,4.9244,8.6429,0.42,-1.26,-0.21
3628.754,-0.1292,-1.0911,9.8967,0.56,-1.33,0.91,0.3972,8.8343,-4.2018,0.91,-1.68,-1.05,0.2967,-8.3988,5.3025,0.63,-0.98,1.96,1.1151,-8.1739,6.3075,-1.89,-3.01,-2.59,0.8471,4.9196,8.6764,0.42,-1.19,-0.35
3747.688,-0.134,-1.0863,9.8967,0.63,-1.33,1.05,0.402,8.8152,-4.2353,0.56,-1.68,-0.98,0.2871,-8.4179,5.3121,0.84,-0.77,2.1,1.1486,-7.992,5.8672,0.21,-1.89,-2.03,0.8375,4.9196,8.6572,0.42,-1.33,-0.28
3837.7,-0.1292,-1.0959,9.9159,0.63,-1.33,0.98,0.402,8.8247,-4.2114,1.05,-1.75,-1.05,0.2824,-8.3988,5.3216,0.77,-0.91,1.82,1.1533,-7.748,5.9151,2.66,-0.84,0.91,0.8566,4.9244,8.6716,0.77,-1.33,-0.35
3928.278,-0.1388,-1.1007,9.8919,0.63,-1.47,0.91,0.3876,8.8008,-4.2353,0.77,-1.75,-0.98,0.2632,-8.4132,5.3264,0.91,-0.91,2.03,1.3448,-8.059,5.9198,-0.14,-1.47,-1.47,0.8375,4.9196,8.6477,0.42,-1.19,-0.35
4107.701,-0.1292,-1.1007,9.9063,0.56,-1.4,1.05,0.3829,8.8199,-4.1922,1.19,-1.82,-1.05,0.2728,-8.4323,5.3025,0.91,-0.7,2.1,1.2538,-7.925,5.9294,-0.28,-2.1,-0.77,0.8471,4.9196,8.6572,0.63,-1.4,-0.21
4197.951,-0.1292,-1.1055,9.8919,0.56,-1.33,1.05,0.3924,8.8056,-4.2401,0.35,-1.68,-0.98,0.2728,-8.4371,5.3073,0.77,-0.91,1.96,1.1964,-8.0303,5.9055,-1.19,-2.52,-1.61,0.8471,4.9101,8.6764,0.35,-1.26,-0.35
4288.404,-0.1244,-1.1007,9.8824,0.7,-1.4,0.91,0.4164,8.8152,-4.197,1.19,-1.75,-0.98,0.3111,-8.3988,5.3264,0.7,-0.7,2.1,1.1677,-8.0447,6.1639,0.0,-1.61,-1.68,0.8327,4.9244,8.6429,0.56,-1.33,-0.28
4408.185,-0.1196,-1.1007,9.8919,0.63,-1.33,0.91,0.4116,8.8152,-4.2114,0.7,-1.68,-1.05,0.2871,-8.4179,5.2977,0.63,-0.98,2.1,1.1916,-7.9872,5.8863,0.0,-1.89,-1.61,0.8566,4.9196,8.6572,0.35,-1.33,-0.28
4498.255,-0.1101,-1.1007,9.9015,0.56,-1.33,0.84,0.402,8.8152,-4.2114,1.33,-1.75,-0.91,0.2728,-8.4084,5.3025,1.4,-0.84,1.96,1.2012,-7.9825,5.9294,-0.42,-2.1,-1.54,0.8423,4.9196,8.662,0.63,-1.33,-0.21
4588.025,-0.1436,-1.1246,9.8871,0.56,-1.33,0.98,0.3924,8.8008,-4.2209,0.63,-1.68,-0.98,0.3015,-8.4132,5.3169,0.84,-0.98,2.03,1.1964,-8.0016,5.9103,0.14,-1.54,-1.12,0.8183,4.9244,8.6429,0.56,-1.12,-0.21
4677.661,-0.1101,-1.0768,9.9063,0.56,-1.33,0.98,0.3876,8.8152,-4.2257,0.84,-1.75,-0.98,0.3111,-8.3892,5.3408,0.7,-0.77,2.17,1.1581,-8.1835,5.8337,3.22,-0.07,-0.63,0.8327,4.9388,8.6572,0.35,-1.33,-0.21
4768.497,-0.1053,-1.0959,9.8871,0.49,-1.26,0.98,0.3972,8.7912,-4.2114,0.84,-1.82,-0.91,0.2871,-8.3988,5.3121,0.84,-0.84,2.03,1.1677,-8.0112,6.1496,-2.17,-2.94,-2.31,0.8518,4.9244,8.6572,0.42,-1.33,-0.28
4857.505,-0.1196,-1.1007,9.8967,0.56,-1.33,1.05,0.3637,8.8152,-4.2353,0.91,-1.61,-1.05,0.2919,-8.4227,5.336,0.91,-0.84,2.03,1.1773,-7.9537,5.8816,0.49,-1.4,-0.7,0.8471,4.9244,8.6716,0.42,-1.26,-0.35
4948.26,-0.1388,-1.1151,9.8871,0.77,-1.19,0.91,0.3924,8.8056,-4.2018,0.56,-1.68,-1.05,0.2824,-8.3988,5.3216,0.77,-0.63,2.17,1.2347,-8.0303,4.9436,-1.26,-2.1,-0.91,0.8327,4.9244,8.6716,0.77,-1.26,-0.28
5037.814,-0.1101,-1.1055,9.9015,0.56,-1.33,0.91,0.3876,8.7864,-4.2353,1.12,-1.75,-0.98,0.2824,-8.3988,5.3408,0.63,-0.91,1.96,2.4311,-8.016,5.8863,-0.84,-2.31,-1.75,0.8327,4.9244,8.6381,0.21,-1.4,-0.21
5158.393,-0.1292,-1.1007,9.8584,0.49,-1.47,0.91,0.4164,8.8056,-4.1827,0.63,-1.75,-0.98,0.3015,-8.4227,5.3025,1.12,-0.84,2.17,1.0337,-7.7097,5.8289,3.08,-0.49,0.49,0.8375,4.9149,8.6477,0.7,-1.4,-0.21
5247.949,-0.1196,-1.1055,9.8824,-0.21,-1.19,1.05,0.4164,8.8008,-4.2449,1.12,-1.82,-1.05,0.2919,-8.4179,5.3312,0.84,-1.12,1.89,1.0241,-8.2361,6.0395,-0.84,-2.52,-2.87,0.8231,4.9196,8.6285,0.14,-1.33,-0.35
5337.542,-0.1005,-1.1151,9.8967,0.91,-1.33,0.98,0.3876,8.8008,-4.2162,1.4,-1.75,-0.98,0.3063,-8.394,5.3216,0.77,-0.7,2.03,1.1773,-7.858,5.7332,-0.42,-2.1,-1.33,0.8471,4.9101,8.6285,0.56,-1.12,-0.35
5428.257,-0.1292,-1.1151,9.8871,0.7,-1.33,0.98,0.402,8.796,-4.2449,0.42,-1.75,-1.05,0.2871,-8.4275,5.3408,0.49,-0.84,1.96,1.1486,-7.9394,5.9294,2.8,-0.63,-1.19,0.8518,4.9196,8.662,0.63,-1.33,-0.28
5518.733,-0.1531,-1.1198,9.8776,0.56,-1.26,1.05,0.402,8.8152,-4.2114,0.77,-1.68,-0.98,0.2824,-8.4179,5.3216,1.19,-0.63,2.17,1.1868,-8.059,5.9677,-0.42,-2.24,-1.82,0.8423,4.9244,8.6668,0.7,-1.26,-0.21
5608.638,-0.1053,-1.1055,9.9063,0.7,-1.33,0.91,0.3781,8.8008,-4.2114,0.7,-1.75,-0.91,0.2824,-8.4084,5.336,0.77,-0.98,1.96,1.1677,-8.0351,6.0156,0.07,-1.96,-0.98,0.8423,4.9196,8.6429,0.49,-1.26,-0.35
5697.045,-0.1292,-1.1007,9.9063,0.56,-1.4,0.84,0.3972,8.8152,-4.2066,1.12,-1.75,-0.98,0.3015,-8.4132,5.3264,0.91,-0.77,2.24,1.1868,-8.016,5.9294,0.21,-1.68,-1.33,0.8518,4.9196,8.6572,0.49,-1.33,-0.21
5818.963,-0.1531,-1.1103,9.9111,0.56,-1.33,0.91,0.3972,8.8056,-4.2353,0.35,-1.61,-1.12,0.2728,-8.4179,5.3169,0.7,-0.98,1.89,1.2108,-7.9777,5.9246,0.35,-1.68,-1.26,0.8471,4.8957,8.6572,0.56,-1.19,-0.28
5907.499,-0.0957,-1.1151,9.8776,0.63,-1.47,0.98,0.4164,8.8199,-4.2066,1.33,-1.82,-0.98,0.2967,-8.3845,5.3169,0.98,-0.77,2.03,1.1773,-7.992,5.9294,-0.07,-1.82,-1.26,0.8566,4.9388,8.662,0.49,-1.26,-0.28
5999.489,-0.1196,-1.0959,9.8967,0.63,-1.33,0.98,0.3876,8.8152,-4.2114,0.42,-1.82,-1.05,0.2871,-8.4227,5.3216,0.7,-0.77,2.1,1.1916,-7.9968,5.9103,0.0,-1.75,-1.33,0.8423,4.9149,8.662,0.63,-1.33,-0.21
6088.681,-0.1149,-1.1007,9.8967,0.98,-1.47,0.91,0.4164,8.7864,-4.2257,0.7,-1.75,-0.98,0.3111,-8.4275,5.3312,0.77,-0.84,2.1,1.1868,-8.0064,5.9055,0.0,-1.75,-1.33,0.8566,4.934,8.6572,0.49,-1.33,-0.35
6177.397,-0.1149,-1.1151,9.8919,0.63,-1.4,0.98,0.3829,8.8199,-4.2162,0.98,-1.68,-0.98,0.2919,-8.4179,5.3025,0.98,-0.7,2.03,1.1868,-7.9968,5.9438,0.14,-1.54,-1.26,0.8279,4.9292,8.662,0.42,-1.33,-0.21
6270.431,-0.1196,-1.1198,9.9206,0.63,-1.33,0.91,0.3733,8.8199,-4.2353,1.19,-1.75,-1.05,0.268,-8.394,5.3312,0.98,-0.63,2.17,1.2012,-7.992,5.9246,0.42,-1.4,-1.12,0.8279,4.9196,8.6333,0.49,-1.19,-0.21
6389.397,-0.1149,-1.0959,9.8967,0.77,-1.4,0.91,0.402,8.8343,-4.2305,0.42,-1.68,-1.05,0.3015,-8.4179,5.3073,0.77,-0.63,2.1,1.2156,-7.9968,5.9342,0.35,-1.54,-0.84,0.8518,4.934,8.6955,0.84,-1.26,-0.14
6449.071,-0.0957,-1.1151,9.9206,0.63,-1.26,0.98,0.3924,8.8104,-4.2449,0.84,-1.75,-0.91,0.2632,-8.4084,5.3504,0.77,-0.84,1.96,1.2251,-7.9729,5.8863,-0.63,-2.24,-1.4,0.8375,4.934,8.6668,0.35,-1.4,-0.35
6569.174,-0.1149,-1.1055,9.8584,0.7,-1.4,0.98,0.3924,8.8008,-4.1922,0.84,-1.75,-0.98,0.3206,-8.4084,5.3169,0.98,-0.84,2.17,1.2251,-8.059,5.8146,0.21,-1.47,-1.61,0.8375,4.9244,8.6524,0.77,-1.33,-0.28
6658.976,-0.1149,-1.1198,9.9063,0.49,-1.33,1.05,0.3972,8.8199,-4.2257,0.56,-1.68,-0.98,0.2824,-8.4179,5.3264,0.7,-0.98,2.1,1.3591,-7.7958,6.2309,-4.69,-3.08,-1.75,0.8518,4.9292,8.6524,0.56,-1.19,-0.35
6749.724,-0.1292,-1.0816,9.8871,0.56,-1.26,1.12,0.3972,8.8056,-4.1922,0.84,-1.82,-0.91,0.3063,-8.4084,5.2977,0.84,-0.77,2.17,1.1677,-7.9825,6.0156,-0.21,-1.75,-1.05,0.8327,4.9101,8.6668,0.63,-1.26,-0.21
6868.277,-0.1292,-1.1151,9.9015,0.49,-1.26,0.91,0.3876,8.8152,-4.2257,1.05,-1.75,-1.05,0.2919,-8.4179,5.3121,0.7,-0.91,1.89,1.3543,-8.0495,5.9629,-0.14,-1.75,-1.26,0.8375,4.934,8.662,0.35,-1.26,-0.35
6927.39,-0.1149,-1.1151,9.9206,0.49,-1.4,0.91,0.3637,8.8152,-4.1874,1.33,-1.82,-0.98,0.3159,-8.4084,5.2929,1.05,-0.77,2.24,1.2969,-7.925,6.0778,-1.26,-2.31,-0.91,0.8423,4.934,8.6477,0.84,-1.33,-0.28
7018.337,-0.1292,-1.0959,9.8824,0.77,-1.4,0.98,0.4355,8.8056,-4.2257,0.07,-1.68,-0.98,0.2871,-8.4179,5.3312,0.56,-1.05,1.96,1.1916,-8.016,5.8528,-0.07,-1.82,-1.19,0.8375,4.9196,8.6524,0.35,-1.33,-0.21
7107.993,-0.1244,-1.1103,9.8967,0.63,-1.4,0.91,0.3924,8.8247,-4.2114,1.47,-1.82,-1.05,0.2632,-8.4371,5.3408,0.98,-0.77,2.17,1.1964,-7.9777,5.9438,0.28,-1.68,-1.4,0.8566,4.9244,8.6716,0.35,-1.47,-0.28
